key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	zh_HANT	et	ia		
Records.ImportDialog.Title	Import Records			Importar récords		Importar récords	Importar récords	Importar récords	Importer les records			Importar recordes	Импорт рекордов	Rekorde importieren	Importera rekord	Importér rekorder	Tuo ennätykset	Importer rekorder	Innflyt metskrár	Rekordok importálása	Importă recorduri	Importuj rekordy	Ներմուծել ռեկորդները	ייבוא שיאים	استيراد الأرقام القياسية	Εισαγωγή ρεκόρ	記録をインポート	匯入紀錄	Impordi rekordid			
Records.ImportDialog.Instructions	Upload a records spreadsheet. A summary of the changes will be shown and you will be asked for confirmation before proceeding.			Cargue una hoja de cálculo de récords. Se mostrará un resumen de los cambios y se le pedirá confirmación antes de continuar.		Cargue una hoja de cálculo de récords. Se mostrará un resumen de los cambios y se le pedirá confirmación antes de continuar.	Cargue una hoja de cálculo de récords. Se mostrará un resumen de los cambios y se le pedirá confirmación antes de continuar.	Cargue una hoja de cálculo de récords. Se mostrará un resumen de los cambios y se le pedirá confirmación antes de continuar.	Téléversez une feuille de calcul des records. Un résumé des changements s'affichera et une confirmation vous sera demandée avant de continuer.			Carregue uma planilha de recordes. Um resumo das alterações será exibido e será solicitada uma confirmação antes de prosseguir.	Загрузите таблицу рекордов. Будет показана сводка изменений, и перед продолжением будет запрошено подтверждение.	Laden Sie eine Rekordtabelle hoch. Eine Zusammenfassung der Änderungen wird angezeigt und vor dem Fortfahren werden Sie um Bestätigung gebeten.	Ladda upp ett rekordkalkylblad. En sammanfattning av ändringarna visas och du ombeds bekräfta innan du fortsätter.	Upload et rekordregneark. En oversigt over ændringerne vises, og du bliver bedt om bekræftelse, før du fortsætter.	Lataa ennätystaulukko. Yhteenveto muutoksista näytetään, ja sinulta pyydetään vahvistus ennen jatkamista.	Last opp et rekordregneark. En oppsummering av endringene vises, og du blir bedt om bekreftelse før du fortsetter.	Legg inn eitt metskráarrokniark. Eitt yvirlit yvir broytingarnar verður víst, og tú verður biðin um at vátta, áðrenn tú heldur fram.	Töltsön fel egy rekordtáblázatot. Megjelenik a változások összefoglalója, és a folytatás előtt megerősítést kérünk.	Încărcați un tabel cu recorduri. Va fi afișat un rezumat al modificărilor și vi se va cere confirmarea înainte de a continua.	Prześlij arkusz rekordów. Zostanie pokazane podsumowanie zmian i przed kontynuacją pojawi się prośba o potwierdzenie.	Վերբեռնեք ռեկորդների աղյուսակը։ Կցուցադրվի փոփոխությունների ամփոփում, և շարունակելուց առաջ ձեզանից կհարցվի հաստատում։	העלה גיליון שיאים. יוצג סיכום של השינויים ותתבקש לאשר לפני ההמשך.	ارفع جدول الأرقام القياسية. سيُعرض ملخص للتغييرات وسيُطلب منك التأكيد قبل المتابعة.	Ανεβάστε ένα φύλλο υπολογισμού ρεκόρ. Θα εμφανιστεί σύνοψη των αλλαγών και θα σας ζητηθεί επιβεβαίωση πριν συνεχίσετε.	記録スプレッドシートをアップロードしてください。変更内容の概要が表示され、続行前に確認を求められます。	上傳紀錄試算表。系統會顯示變更摘要，並在繼續前要求您確認。	Laadi rekordite tabel üles. Kuvatakse muudatuste kokkuvõte ja enne jätkamist küsitakse kinnitust.			
Records.ImportDialog.PreviewTitle	Import Preview			Vista previa de importación		Vista previa de importación	Vista previa de importación	Vista previa de importación	Aperçu de l'importation			Pré-visualização da importação	Предварительный просмотр импорта	Importvorschau	Förhandsgranskning av import	Forhåndsvisning af import	Tuonnin esikatselu	Forhåndsvisning av import	Innflutningsforsýning	Import előnézete	Previzualizare import	Podgląd importu	Ներմուծման նախադիտում	תצוגה מקדימה של הייבוא	معاينة الاستيراد	Προεπισκόπηση εισαγωγής	インポートのプレビュー	匯入預覽	Impordi eelvaade			
Records.ImportDialog.TotalRecords	Total records in file			Total de récords en el archivo		Total de récords en el archivo	Total de récords en el archivo	Total de récords en el archivo	Total des records dans le fichier			Total de recordes no arquivo	Всего рекордов в файле	Gesamtzahl der Rekorde in der Datei	Totalt antal rekord i filen	Samlet antal rekorder i filen	Tiedoston ennätysten kokonaismäärä	Totalt antall rekorder i filen	Tilsamans metskrár í skránni	A fájlban lévő rekordok összesen	Total recorduri în fișier	Łączna liczba rekordów w pliku	Ֆայլի ռեկորդների ընդհանուր թիվը	סך כל השיאים בקובץ	إجمالي الأرقام القياسية في الملف	Συνολικά ρεκόρ στο αρχείο	ファイル内の記録総数	檔案中的紀錄總數	Rekordite koguarv failis			
Records.ImportDialog.OfficialImported	Official records to import			Récords oficiales para importar		Récords oficiales para importar	Récords oficiales para importar	Récords oficiales para importar	Records officiels à importer			Recordes oficiais a importar	Официальные рекорды для импорта	Offizielle Rekorde zum Importieren	Officiella rekord att importera	Officielle rekorder til import	Tuotavat viralliset ennätykset	Offisielle rekorder som skal importeres	Almennar metskrár at flyta inn	Importálandó hivatalos rekordok	Recorduri oficiale de importat	Oficjalne rekordy do importu	Ներմուծվող պաշտոնական ռեկորդներ	שיאים רשמיים לייבוא	الأرقام القياسية الرسمية المطلوب استيرادها	Επίσημα ρεκόρ προς εισαγωγή	インポートする公式記録	要匯入的正式紀錄	Imporditavad ametlikud rekordid			
Records.ImportDialog.ProvisionalImported	Provisional records to import			Récords provisionales para importar		Récords provisionales para importar	Récords provisionales para importar	Récords provisionales para importar	Records provisoires à importer			Recordes provisórios a importar	Предварительные рекорды для импорта	Vorläufige Rekorde zum Importieren	Preliminära rekord att importera	Foreløbige rekorder til import	Tuotavat väliaikaiset ennätykset	Foreløpige rekorder som skal importeres	Fyribils metskrár at flyta inn	Importálandó ideiglenes rekordok	Recorduri provizorii de importat	Tymczasowe rekordy do importu	Ներմուծվող ժամանակավոր ռեկորդներ	שיאים זמניים לייבוא	الأرقام القياسية المؤقتة المطلوب استيرادها	Προσωρινά ρεκόρ προς εισαγωγή	インポートする暫定記録	要匯入的暫定紀錄	Imporditavad ajutised rekordid			
Records.ImportDialog.OfficialToReplace	Official records to replace			Récords oficiales a reemplazar		Récords oficiales a reemplazar	Récords oficiales a reemplazar	Récords oficiales a reemplazar	Records officiels à remplacer			Recordes oficiais a substituir	Официальные рекорды для замены	Zu ersetzende offizielle Rekorde	Officiella rekord att ersätta	Officielle rekorder der skal erstattes	Korvattavat viralliset ennätykset	Offisielle rekorder som skal erstattes	Almennar metskrár at skifta út	Cserélendő hivatalos rekordok	Recorduri oficiale de înlocuit	Oficjalne rekordy do zastąpienia	Փոխարինվող պաշտոնական ռեկորդներ	שיאים רשמיים להחלפה	الأرقام القياسية الرسمية المراد استبدالها	Επίσημα ρεκόρ προς αντικατάσταση	置き換える公式記録	要取代的正式紀錄	Asendatavad ametlikud rekordid			
Records.ImportDialog.ProvisionalToRemove	Provisional records to remove			Récords provisionales para eliminar		Récords provisionales para eliminar	Récords provisionales para eliminar	Récords provisionales para eliminar	Records provisoires à supprimer			Recordes provisórios a remover	Предварительные рекорды для удаления	Zu entfernende vorläufige Rekorde	Preliminära rekord att ta bort	Foreløbige rekorder der skal fjernes	Poistettavat väliaikaiset ennätykset	Foreløpige rekorder som skal fjernes	Fyribils metskrár at taka burtur	Eltávolítandó ideiglenes rekordok	Recorduri provizorii de eliminat	Tymczasowe rekordy do usunięcia	Հեռացվող ժամանակավոր ռեկորդներ	שיאים זמניים להסרה	الأرقام القياسية المؤقتة المراد حذفها	Προσωρινά ρεκόρ προς αφαίρεση	削除する暫定記録	要移除的暫定紀錄	Eemaldatavad ajutised rekordid			
Records.ImportDialog.DuplicateSkipped	Duplicate provisional records to skip			Récords provisionales duplicados que se omitirán		Récords provisionales duplicados que se omitirán	Récords provisionales duplicados que se omitirán	Récords provisionales duplicados que se omitirán	Records provisoires en double à ignorer			Recordes provisórios duplicados a ignorar	Дублирующиеся предварительные рекорды, которые будут пропущены	Zu überspringende doppelte vorläufige Rekorde	Dubbla preliminära rekord att hoppa över	Dublerede foreløbige rekorder der springes over	Ohitettavat päällekkäiset väliaikaiset ennätykset	Dupliserte foreløpige rekorder som skal hoppes over	Tvítaldar fyribils metskrár at leypa um	Kihagyandó ismétlődő ideiglenes rekordok	Recorduri provizorii duplicate de omis	Zduplikowane tymczasowe rekordy do pominięcia	Բաց թողնվող կրկնվող ժամանակավոր ռեկորդներ	שיאים זמניים כפולים שיש לדלג עליהם	الأرقام القياسية المؤقتة المكررة المطلوب تخطيها	Διπλά προσωρινά ρεκόρ προς παράλειψη	スキップする重複した暫定記録	要略過的重複暫定紀錄	Vahelejäetavad duplikaatsed ajutised rekordid			
Records.ImportDialog.ConfirmButton	Confirm Import			Confirmar importación		Confirmar importación	Confirmar importación	Confirmar importación	Confirmer l'importation			Confirmar importação	Подтвердить импорт	Import bestätigen	Bekräfta import	Bekræft import	Vahvista tuonti	Bekreft import	Staðfest innflutning	Import megerősítése	Confirmă importul	Potwierdź import	Հաստատել ներմուծումը	אשר ייבוא	تأكيد الاستيراد	Επιβεβαίωση εισαγωγής	インポートを確定	確認匯入	Kinnita import			
Records.ImportDialog.Col.Federation	Federation			Federación		Federación	Federación	Federación	Fédération			Federação	Федерация	Verband	Förbund	Forbund	Liitto	Forbund	Samband	Szövetség	Federație	Federacja	Ֆեդերացիա	פדרציה	الاتحاد	Ομοσπονδία	連盟	聯盟	Föderatsioon			
Records.ImportDialog.Col.RecordName	Record Name			Nombre del récord		Nombre del récord	Nombre del récord	Nombre del récord	Nom du record			Nome do recorde	Название рекорда	Name des Rekords	Rekordnamn	Rekordnavn	Ennätyksen nimi	Rekordnavn	Navn á metskrá	Rekord neve	Nume record	Nazwa rekordu	Ռեկորդի անվանում	שם השיא	اسم الرقم القياسي	Όνομα ρεκόρ	記録名	紀錄名稱	Rekordi nimi			
Records.ImportDialog.Col.AgeGroup	Age Group			Grupo de edad		Grupo de edad	Grupo de edad	Grupo de edad	Groupe d'âge			Grupo etário	Возрастная группа	Altersgruppe	Åldersgrupp	Aldersgruppe	Ikäryhmä	Aldersgruppe	Aldursbólkur	Korcsoport	Grupă de vârstă	Grupa wiekowa	Տարիքային խումբ	קבוצת גיל	الفئة العمرية	Ηλικιακή κατηγορία	年齢区分	年齡組別	Vanuserühm			
Records.ImportDialog.Col.Imported	Imported			Importados		Importados	Importados	Importados	Importés			Importados	Импортировано	Importiert	Importerade	Importeret	Tuodut	Importert	Innflutt	Importált	Importate	Zaimportowane	Ներմուծված	יובאו	تم استيرادها	Εισαχθέντα	インポート済み	已匯入	Imporditud			
Records.ImportDialog.Col.OfficialToReplace	Official to Replace			Oficiales a reemplazar		Oficiales a reemplazar	Oficiales a reemplazar	Oficiales a reemplazar	Officiels à remplacer			Oficiais a substituir	Официальные для замены	Offizielle zum Ersetzen	Officiella att ersätta	Officielle der skal erstattes	Korvattavat viralliset	Offisielle som skal erstattes	Almennar at skifta út	Cserélendő hivatalos	Oficiale de înlocuit	Oficjalne do zastąpienia	Փոխարինվող պաշտոնական	רשמיים להחלפה	الرسمية المراد استبدالها	Επίσημα προς αντικατάσταση	置換する公式	要取代的正式	Asendatavad ametlikud			
Records.ImportDialog.Col.ProvisionalToRemove	Provisional to Remove			Provisionales a eliminar		Provisionales a eliminar	Provisionales a eliminar	Provisionales a eliminar	Provisoires à supprimer			Provisórios a remover	Предварительные для удаления	Vorläufige zum Entfernen	Preliminära att ta bort	Foreløbige der skal fjernes	Poistettavat väliaikaiset	Foreløpige som skal fjernes	Fyribils at taka burtur	Eltávolítandó ideiglenes	Provizorii de eliminat	Tymczasowe do usunięcia	Հեռացվող ժամանակավոր	זמניים להסרה	المؤقتة المراد حذفها	Προσωρινά προς αφαίρεση	削除する暫定	要移除的暫定	Eemaldatavad ajutised			
Records.ImportDialog.Col.DuplicateSkipped	Duplicates Skipped			Duplicados omitidos		Duplicados omitidos	Duplicados omitidos	Duplicados omitidos	Doublons ignorés			Duplicados ignorados	Пропущенные дубликаты	Übersprungene Duplikate	Överhoppade dubbletter	Oversprungne dubletter	Ohitetut kaksoiskappaleet	Hoppet over duplikater	Yvirhoppuð tvítøkur	Kihagyott ismétlődések	Dubluri omise	Pominięte duplikaty	Բաց թողնված կրկնօրինակներ	כפילויות שדולגו	التكرارات التي تم تخطيها	Παραλειφθέντα διπλότυπα	スキップした重複	已略過的重複	Vahele jäetud duplikaadid			
