key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	ia	
TechnicalOfficial.Active	Active	Active	Active	Activo	Activo	Activo	Activo	Activo	Actif	Actif	Actif	Ativo	Активный	Aktiv	Aktiv	Aktiv	Aktiivinen	Aktiv	Active	Aktív	Activ	Aktywny	Ակտիվ	פעיל	نشط	Ενεργός	アクティブ		
TechnicalOfficial.Role	Role	Role	Role	Rol	Rol	Rol	Rol	Rol	Rôle	Rôle	Rôle	Função	Роль	Rolle	Roll	Rolle	Rooli	Rolle	Role	Szerep	Rol	Rola	Դեր	תפקיד	دور	Ρόλος	役割		
TO.Role.TECHNICAL_OFFICIAL	Technical Official	Technical Official	Technical Official	Oficial técnico	Oficial técnico	Oficial técnico	Oficial técnico	Oficial técnico	Officiel technique	Officiel technique	Officiel technique	Oficial técnico	Технический официальный	Technischer Offizieller	Teknisk funktionär	Teknisk funktionær	Tekninen toimitsija	Teknisk funksjonær	Technical Official	Technikai tisztviselő	Oficial tehnic	Sędzia techniczny	Տեխնիկական պաշտոնյա	שופט טכני	مسؤول فني	Τεχνικός υπάλληλος	テクニカルオフィシャル		
TO.Role.COMPETITION_DIRECTOR	Competition Director	Competition Director	Competition Director	Director de competición	Director de competición	Director de competición	Director de competición	Director de competición	Directeur de compétition	Directeur de compétition	Directeur de compétition	Diretor de competição	Директор соревнований	Wettkampfdirektor	Tävlingsdirektör	Konkurrencedirektør	Kilpailujohtaja	Konkurransedirektør	Competition Director	Versenydirektor	Director de competiție	Dyrektor zawodów	Մրցումների տնօրեն	מנהל תחרות	مدير المسابقة	Διευθυντής αγώνων	競技ディレクター		
TO.Role.COMPETITION_SECRETARY	Competition Secretary	Competition Secretary	Competition Secretary	Secretario de competición	Secretario de competición	Secretario de competición	Secretario de competición	Secretario de competición	Secrétaire de compétition	Secrétaire de compétition	Secrétaire de compétition	Secretário de competição	Секретарь соревнований	Wettkampfsekretär	Tävlingssekreterare	Konkurrencesekretær	Kilpailusihteeri	Konkurransesekreter	Competition Secretary	Versenytitkár	Secretar de competiție	Sekretarz zawodów	Մրցումների քարտուղար	מזכיר תחרות	سكرتير المسابقة	Γραμματέας αγώνων	競技セクレタリー		
TO.Role.STAFF	Staff	Staff	Staff	Personal	Personal	Personal	Personal	Personal	Personnel	Personnel	Personnel	Pessoal	Персонал	Personal	Personal	Personale	Henkilökunta	Personale	Staff	Személyzet	Personal	Personel	Անձնակազմ	צוות	موظفين	Προσωπικό	スタッフ		
TO.Role.VOLUNTEER	Volunteer	Volunteer	Volunteer	Voluntario	Voluntario	Voluntario	Voluntario	Voluntario	Bénévole	Bénévole	Bénévole	Voluntário	Волонтер	Freiwilliger	Volontär	Frivillig	Vapaaehtoinen	Frivillig	Volunteer	Önkéntes	Voluntar	Wolontariusz	Կամավոր	מתנדב	متطوع	Εθελοντής	ボランティア		
TO.Role.LOADER	Loader	Loader	Loader	Cargador	Cargador	Cargador	Cargador	Cargador	Chargeur	Chargeur	Chargeur	Carregador	Погрузчик	Lader	Lastare	Læsser	Kuormaaja	Laster	Loader	Rakodó	Încărcător	Ładowacz	Բեռնիչ	מעמיס	محمل	Φορτωτής	ローダー		
TO.Role.INFORMATION_TECHNOLOGY	Information System	Information System	Information System	Sistema de información	Sistema de información	Sistema de información	Sistema de información	Sistema de información	Système d'information	Système d'information	Système d'information	Sistema de informação	Информационная система	Informationssystem	Informationssystem	Informationssystem	Tietojärjestelmä	Informasjonssystem	Information System	Információs rendszer	Sistem informațional	System informacyjny	Տեղեկատվական համակարգ	מערכת מידע	نظام المعلومات	Σύστημα πληροφοριών	情報システム		
TO.Role.VIDEO	Video	Video	Video	Vídeo	Vídeo	Vídeo	Vídeo	Vídeo	Vidéo	Vidéo	Vidéo	Vídeo	Видео	Video	Video	Video	Video	Video	Video	Videó	Video	Wideo	Վիդեո	וידאו	فيديو	Βίντεο	ビデオ		
TO.Role.MEDIA	Media	Media	Media	Medios	Medios	Medios	Medios	Medios	Médias	Médias	Médias	Mídia	СМИ	Medien	Media	Medier	Media	Medier	Media	Média	Media	Media	Մեդիա	מדיה	وسائل الإعلام	Μέσα	メディア		
TO.Role.VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	ВИП	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP	VIP		
