key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	ia
Eligibility.Status	Eligibility Status	Eligibility Status	Eligibility Status	Estado de elegibilidad	Estado de elegibilidad	Estado de elegibilidad	Estado de elegibilidad	Estado de elegibilidad	Statut d'admissibilité	Statut d'admissibilité	Statut d'admissibilité	Status de elegibilidade	Статус допуска	Berechtigung-Status	Berättigandestatus	Berettigelsesstatus	Kelpoisuustila	Rettighetsstatus	Heimild staða	Jogosultság állapota	Status de eligibilitate	Status uprawnień	Իրավասության կարգավիճակ	סטטוס זכאות	حالة الأهلية	Κατάσταση δικαιώματος	適格性ステータス	Status de eligibilitate
Eligibility.OOC_INVITED	✘ Invited	✘ Invited	✘ Invited	✘ Invitado	✘ Invitado	✘ Invitado	✘ Invitado	✘ Invitado	✘ Invité	✘ Invité	✘ Invité	✘ Convidado	✘ Приглашён	✘ Eingeladen	✘ Inbjuden	✘ Inviteret	✘ Kutsuttu	✘ Invitert	✘ Innboðað	✘ Meghívott	✘ Invitat	✘ Zaproszony	✘ Հրավիրված	✘ הוזמן	✘ مدعو	✘ Προσκεκλημένος	✘ 招待済み	✘ Invitate
Eligibility.OOC_ADMINISTRATIVE	✘ Administrative Issue	✘ Administrative Issue	✘ Administrative Issue	✘ Asunto administrativo	✘ Asunto administrativo	✘ Asunto administrativo	✘ Asunto administrativo	✘ Asunto administrativo	✘ Problème administratif	✘ Problème administratif	✘ Problème administratif	✘ Questão administrativa	✘ Административная проблема	✘ Verwaltungsproblem	✘ Administrativt problem	✘ Administrativt problem	✘ Muu ongelma	✘ Annet problem	✘ Annað mál	✘ Egyéb probléma	✘ Altă problemă	✘ Inny problem	✘ Իսկ ավել դժվար	✘ בעיה אחרת	✘ مشكلة إدارية	✘ Διοικητικό ζήτημα	✘ 管理上の問題	✘ Problema administrative
Eligibility.OOC_QUALIFICATION	✘ Qualification Issue	✘ Qualification Issue	✘ Qualification Issue	✘ Problema de calificación	✘ Problema de calificación	✘ Problema de calificación	✘ Problema de calificación	✘ Problema de calificación	✘ Problème de qualification	✘ Problème de qualification	✘ Problème de qualification	✘ Problema de qualificação	✘ Проблема квалификации	✘ Qualifikationsproblem	✘ Kvalifikationsproblem	✘ Kvalifikationsproblem	✘ Kvalifikaatio-ongelma	✘ Kvalifikasjonsproblem	✘ Kvalifikationsproblem	✘ Kvalifikációs probléma	✘ Problemă de calificare	✘ Problem z kwalifikacją	✘ Որակավորման խնդիր	✘ בעיית כשירות	✘ مشكلة في التأهيل	✘ Ζήτημα προσόντων	✘ 予選に関する問題	✘ Problema de qualification
Eligibility.OOC_OUT_OF_AGE_RANGE	✘ Out Of Age Range	✘ Out Of Age Range	✘ Out Of Age Range	✘ Fuera del rango de edad	✘ Fuera del rango de edad	✘ Fuera del rango de edad	✘ Fuera del rango de edad	✘ Fuera del rango de edad	✘ Hors de la tranche d'âge	✘ Hors de la tranche d'âge	✘ Hors de la tranche d'âge	✘ Fora da faixa etária	✘ Вне возрастного диапазона	✘ Außerhalb des Altersbereichs	✘ Utanför åldersintervallet	✘ Uden for aldersintervallet	✘ Ikärajojen ulkopuolella	✘ Utenfor aldersområdet	✘ Uttanfyri aldursbilið	✘ Korhatáron kívül	✘ În afara intervalului de vârstă	✘ Poza zakresem wieku	✘ Տարիքային սահմաններից դուրս	✘ מחוץ לטווח הגילאים	✘ خارج الفئة العمرية	✘ Εκτός εύρους ηλικιών	✘ 年齢範囲外	✘ Foras del intervalo de etate
Eligibility.OOC_OTHER	✘ Other Issue	✘ Other Issue	✘ Other Issue	✘ Otro asunto	✘ Otro asunto	✘ Otro asunto	✘ Otro asunto	✘ Otro asunto	✘ Autre problème	✘ Autre problème	✘ Autre problème	✘ Outro problema	✘ Другая проблема	✘ Anderes Problem	✘ Annat problem	✘ Andet problem	✘ Muu ongelma	✘ Annet problem	✘ Annað mál	✘ Egyéb probléma	✘ Altă problemă	✘ Inny problem	✘ Իսկ ավել խնդիր	✘ בעיה אחרת	✘ مشكلة أخرى	✘ Άλλο ζήτημα	✘ その他の問題	✘ Altre problema
Eligibility.OOC_DID_NOT_MAKE_WEIGHT	✘ Did Not Make Weight	✘ Did Not Make Weight	✘ Did Not Make Weight	✘ No hizo el peso	✘ No hizo el peso	✘ No hizo el peso	✘ No hizo el peso	✘ No hizo el peso	✘ N'a pas fait le poids	✘ N'a pas fait le poids	✘ N'a pas fait le poids	✘ Não atingiu o peso	✘ Не вышел на вес	✘ Hat das Gewicht nicht geschafft	✘ Klarade inte vikten	✘ Opnåede ikke vægten	✘ Ei saavuttanut painoa	✘ Oppnådde ikke vekt	✘ Einki rakk vektina	✘ Nem érte el a testsúlyt	✘ Nu a reușit greutatea	✘ Nie osiągnął wagi	✘ Չհաջողվեց հասնել քաշին	✘ לא הגיע למשקל	✘ لم يحقق الوزن	✘ Δεν κατάφερε το βάρος	✘ 体重を満たさなかった	✘ Non atingeva le peso
Eligibility.DSQ_DOPING	✘ Doping Sanction	✘ Doping Sanction	✘ Doping Sanction	✘ Sanción por dopaje	✘ Sanción por dopaje	✘ Sanción por dopaje	✘ Sanción por dopaje	✘ Sanción por dopaje	✘ Sanction pour dopage	✘ Sanction pour dopage	✘ Sanction pour dopage	✘ Sanção por dopagem	✘ Санкция за допинг	✘ Doping-Sanktion	✘ Dopningspåföljd	✘ Dopingsanktion	✘ Dopingseuraamus	✘ Dopingsanksjon	✘ Doping sanksjón	✘ Dopping szankció	✘ Sancțiune pentru dopaj	✘ Sankcja za doping	✘ Դոպինգի պատժ	✘ סנקציה על דופינג	✘ عقوبة المنشطات	✘ Ποινή για ντόπινγ	✘ ドーピング制裁	✘ Sanction pro doping
Eligibility.DSQ_DISCIPLINARY	✘ Disciplinary Procedure	✘ Disciplinary Procedure	✘ Disciplinary Procedure	✘ Procedimiento disciplinario	✘ Procedimiento disciplinario	✘ Procedimiento disciplinario	✘ Procedimiento disciplinario	✘ Procedimiento disciplinario	✘ Procédure disciplinaire	✘ Procédure disciplinaire	✘ Procédure disciplinaire	✘ Procedimento disciplinar	✘ Дисциплинарная процедура	✘ Disziplinarverfahren	✘ Disciplinär procedur	✘ Disciplinær procedure	✘ Kurinpitomenettely	✘ Disiplinær prosedyre	✘ Disiplinær prosedyra	✘ Fegyelmi eljárás	✘ Procedură disciplinară	✘ Postępowanie dyscyplinarne	✘ Կարգապահական ընթացակարգ	✘ הליך משמעתי	✘ إجراء تأديبي	✘ Πειθαρχική διαδικασία	✘ 懲戒手続き	✘ Procedure disciplinari
Eligibility.ELIGIBLE	✔ Eligible For Medals	✔ Eligible For Medals	✔ Eligible For Medals	✔ Elegible para medallas	✔ Elegible para medallas	✔ Elegible para medallas	✔ Elegible para medallas	✔ Elegible para medallas	✔ Admissible aux médailles	✔ Admissible aux médailles	✔ Admissible aux médailles	✔ Elegível para medalhas	✔ Допущен к медалям	✔ Berechtigt zu Medaillen	✔ Behörig till medaljer	✔ Berettiget til medaljer	✔ Kelvollinen mitaleihin	✔ Berettiget til medaljer	✔ Fyri heiðursmerki egin	✔ Jogosult érmekre	✔ Eligibil pentru medalii	✔ Uprawniony do medali	✔ Համապատասխան է մեդալների	✔ זכאי למדליות	✔ مؤهل للميداليات	✔ Δικαιούται μετάλλια	✔ メダル対象	✔ Eligibil per medalii
