key,en,es,fr,ar
Question,?,?,\u0020?,؟
CannotEditResults,. You cannot edit the results.,No se pueden editar los resultados,. Vous ne pouvez pas éditer les résultats,. لا يمكنك تحرير النتائج
Scoreboard.AttemptsDone,"{0,choice,0#No attempts done.|1#1 attempt done.|1<{0} attempts done.}","{0,choice,0#Ningún intento realizado.|1#1 intento realizado.|1<{0} intentos realizados.}","{0,choice,0#Aucun essai.|1#1 essai effectué.|1<{0} essais effectués.}","{0,choice,0#لم يتم أي محاولة.|1#محاولة واحدة.|1<{0} محاولة."
Results.AttemptsDone,"{0,choice,0#No attempts done.|1#1 attempt done.|1<{0} attempts done.}","{0,choice,0#Ningún intento realizado.|1#1 intento realizado.|1<{0} intentos realizados.}","{0,choice,0#Aucun essai.|1#1 essai effectué.|1<{0} essais effectués.}","{0,choice,0#لم يتم أي محاولة.|1#محاولة واحدة.|1<{0} محاولة."
NoLift_GoodLift,"{0,choice,0#No Lift|1#Good Lift} for {1}","{0,choice,0#Levantamiento Nulo|1#Levantamiento Válido} para {1}","Essai {0,choice,0#refusé|1#réussi} pour {1}","{0,choice,0#رفعة غير صحيحة|1#رفعة صحيحة} لـ {1}"
Kg,"{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} kg","{0,number,#.#} كجم"
TeamResults.TeamNameFormat,{0} ({1}),{0} ({1}),{0} ({1}),{0} ({1})
Upload.WrongDateFormat,"{0} is not a 4-digit year OR an ""{1}"" {2} format like {3} OR an international {4} format like {5}","{0} no es un año de 4 dígitos O un formato ""{1}"" {2} como {3} O un formato internacional {4} como {5}.","{0} n'est pas une année à 4 chiffres OU un format ""{1}"" {2} comme {3} OU un format international {4} comme {5}.","{0} ليس سنة من 4 أرقام أو تنسيق ""{1}"" {2} مثل {3} أو تنسيق دولي {4} مثل {5}"
Competition.defaultFederation,\u0020,\u0020,\u0020,\u0020
Competition.defaultFederationAddress,\u0020,\u0020,\u0020,\u0020
Competition.defaultFederationEMail,\u0020,\u0020,\u0020,\u0020
Competition.defaultFederationWebSite,\u0020,\u0020,\u0020,\u0020
CompetitionBook.C_RightHeader,\u0020,\u0020,\u0020,\u0020
AnnouncerEtc,"\u0020(announcer, timekeeper, marshal, result boards, attempt board, jury, etc.)","\u0020(Anunciador, Cronometrista, Marshal, Planillas de Resultados, Tablero de Intentos, Jurado, etc.)","\u0020(annonceur, chronométreur, changements, résultats, essai courant, jury, etc.)","\u0020(المعلق، ضابط الوقت، مراقب الأوزان، لوحات النتائج، لوحة المحاولات، اللجنة، إلخ)"
LocalComputer,\u0020(on the computer running the owlcms program),\u0020(en el computador que se ejecuta el programa owlcms),\u0020(sur l'ordinateur où owlcms s'exécute),\u0020(على الحاسوب الذي يشغل برنامج owlcms)
Wired,\u0020(wired),\u0020(cableado),\u0020(cablé),\u0020(سلكي)
Wireless,\u0020(wireless),\u0020(inalámbrico),\u0020(sans fil),\u0020(لاسلكي)
UseAtYourOwnRisk,You are responsible for performing whatever tests are needed to establish that the software is fit for your circumstances.,Ustedes son responsables de realizar las pruebas necesarias para establecer que el software es adecuado para sus necesidades.,Vous êtes responsable d'effectuer les tests requis pour établir que le logiciel répond à vos besoins.,أنت مسؤول عن إجراء أي اختبارات مطلوبة للتأكد من أن البرنامج مناسب لظروفك.
AtTimeOfRelease,"\u0020as published at the time of release.  As stated in the license, there is no guarantee whatsoever regarding this software.","\u0020 Publicado en el momento del lanzamiento. Como se indica en la licencia, no hay garantia alguna con respecto a este software.","\u0020tels que disponibles au moment de la publication du logiciel. Tel que mentionné dans la licence, il n'y a aucune garantie.","\u0020كما نُشر وقت الإصدار. كما هو مذكور في الترخيص، لا يوجد ضمان مطلقاً بخصوص هذا البرنامج."
Semicolon,\u003B,\u003B,\u003B,\u003B
Scoreboard.Done,# Athletes Scored (Done Sessions),# Atletas (Tandas terminadas),# Athlètes comptabilisés (plateaux terminés),# الرياضيين المُسجلين (الجلسات المكتملة)
Results.Done,# Athletes Scored (Done Sessions),# Atletas (Tandas terminadas),# Athlètes comptabilisés (plateaux terminés),# الرياضيين المُسجلين (الجلسات المكتملة)
Scoreboard.TeamSize,# Team Members,# Miembros del equipo,# Membres,# أعضاء الفريق
Results.TeamSize,# Team Members,# Miembros del equipo,# Membres,# أعضاء الفريق
SeparateLaptops,</ul>,</ul>,</ul>,</ul>
PrepareCompatition_description,"<li><b>{0}</b>: Enter the competition coordinates, register the athletes, define the sessions, etc.<br></li>","<li><b>{0}</b>: Registre las coordenadas de la competencia, registre los atletas, definir las tandas, etc.<br></li>","<li><b>{0}</b>: Entrer les coordonnées, inscrire les athlètes, définir les plateaux, etc.<br></li>","<li><b>{0}</b>: إدخال تفاصيل البطولة، تسجيل الرياضيين، تحديد الجلسات، إلخ.<br></li>"
CompetitionDocuments_description,<li><b>{0}</b>: Produce printable documents for each session and the final results package.</li>,<li><b>{0}</b>: Producir documentos imprimibles para cada tanda y el paquete de resultados finales.</li>,<li><b>{0}</b>: Produire les résultats imprimables pour chaque plateau et le cahier de compétition .</li>,<li><b>{0}</b>: إنتاج وثائق قابلة للطباعة لكل جلسة وحزمة النتائج النهائية.</li>
