key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	zh_HANT	et	ia		
Championship.scoringSystem	Scoring System	Scoring System	Scoring System	Sistema de Puntuación	Sistema de Puntuación	Sistema de Puntuación	Sistema de Puntuación	Sistema de Puntuación	Système de Pointage	Système de Pointage	Système de Pointage	Sistema de Pontuação	Система подсчёта очков	Wertungssystem	Poängsystem	Pointsystem	Pisteytysjärjestelmä	Poengsystem	Stigarskipan	Pontozási rendszer	Sistem de punctaj	System punktacji	Միավորների համակարգ	שיטת ניקוד	نظام التسجيل	Σύστημα βαθμολογίας	スコアリング方式	計分系統	Hindamissüsteem	Scoring System		
Championship.bestAthleteScoringSystem	Best Athlete Scoring System	Best Athlete Scoring System	Best Athlete Scoring System	Sistema de Puntuación del Mejor Atleta	Sistema de Puntuación del Mejor Atleta	Sistema de Puntuación del Mejor Atleta	Sistema de Puntuación del Mejor Atleta	Sistema de Puntuación del Mejor Atleta	Système de Pointage du Meilleur Athlète	Système de Pointage du Meilleur Athlète	Système de Pointage du Meilleur Athlète	Sistema de Pontuação do Melhor Atleta	Система подсчёта лучшего спортсмена	Wertungssystem Bester Athlet	Poängsystem bästa idrottare	Pointsystem bedste atlet	Parhaan urheilijan pisteytysjärjestelmä	Poengsystem beste utøver	Stigarskipan besti ítróttarfólk	Legjobb sportoló pontozási rendszere	Sistem de punctaj cel mai bun sportiv	System punktacji najlepszego zawodnika	Լավագույն մարզիկի համակարգ	שיטת ניקוד הספורטאי הטוב ביותר	نظام تسجيل أفضل رياضي	Σύστημα βαθμολογίας καλύτερου αθλητή	最優秀選手スコアリング方式	最佳運動員計分系統	Parima sportlase hindamissüsteem	Best Athlete Scoring System		
Championship.bestSnatchScoringSystem	Best Snatch Scoring System	Best Snatch Scoring System	Best Snatch Scoring System	Sistema de Puntuación del Mejor Arranque	Sistema de Puntuación del Mejor Arranque	Sistema de Puntuación del Mejor Arranque	Sistema de Puntuación del Mejor Arranque	Sistema de Puntuación del Mejor Arranque	Système de Pointage du Meilleur Arraché	Système de Pointage du Meilleur Arraché	Système de Pointage du Meilleur Arraché	Sistema de Pontuação do Melhor Arranco	Система подсчёта лучшего рывка	Wertungssystem Bestes Reissen	Poängsystem bästa ryck	Pointsystem bedste træk	Parhaan tempauksen pisteytysjärjestelmä	Poengsystem beste rykk	Stigarskipan besta rykk	Legjobb szakítás pontozási rendszere	Sistem de punctaj cel mai bun smuls	System punktacji najlepszego rwania	Լավագույն ռվքի համակարգ	שיטת ניקוד הקליעה הטובה ביותר	نظام تسجيل أفضل خطف	Σύστημα βαθμολογίας καλύτερου αρασέ	最優秀スナッチスコアリング方式	最佳抓舉計分系統	Parima rebimise hindamissüsteem	Best Snatch Scoring System		
Championship.bestCJScoringSystem	Best CJ Scoring System	Best CJ Scoring System	Best CJ Scoring System	Sistema de Puntuación del Mejor Envión	Sistema de Puntuación del Mejor Envión	Sistema de Puntuación del Mejor Envión	Sistema de Puntuación del Mejor Envión	Sistema de Puntuación del Mejor Envión	Système de Pointage du Meilleur Épaulé-jeté	Système de Pointage du Meilleur Épaulé-jeté	Système de Pointage du Meilleur Épaulé-jeté	Sistema de Pontuação do Melhor Arremesso	Система подсчёта лучшего толчка	Wertungssystem Bestes Stossen	Poängsystem bästa stöt	Pointsystem bedste stød	Parhaan työnnön pisteytysjärjestelmä	Poengsystem beste støt	Stigarskipan besta støyt	Legjobb lökés pontozási rendszere	Sistem de punctaj cel mai bun aruncat	System punktacji najlepszego podrzutu	Լավագույն թոլքի համակարգ	שיטת ניקוד הנקיה וזריקה הטובה ביותר	نظام تسجيل أفضل نتر ورفع	Σύστημα βαθμολογίας καλύτερου ζετέ	最優秀クリーン＆ジャークスコアリング方式	最佳挖舉計分系統	Parima tõukamise hindamissüsteem	Best CJ Scoring System		
Championship.teamScoringSystem	Team Scoring System	Team Scoring System	Team Scoring System	Sistema de Puntuación por Equipos	Sistema de Puntuación por Equipos	Sistema de Puntuación por Equipos	Sistema de Puntuación por Equipos	Sistema de Puntuación por Equipos	Système de Pointage d'Équipe	Système de Pointage d'Équipe	Système de Pointage d'Équipe	Sistema de Pontuação de Equipe	Командная система подсчёта	Team-Wertungssystem	Lagpoängsystem	Holdpointsystem	Joukkuepisteytys	Lagpoeng-system	Liðsstigarskipan	Csapatpontozási rendszer	Sistem de punctaj pe echipă	System punktacji drużynowej	Թիմային համակարգ	שיטת ניקוד קבוצתית	نظام تسجيل الفريق	Σύστημα βαθμολογίας ομάδας	チームスコアリング方式	團隊計分系統	Võistkonna hindamissüsteem	Team Scoring System		
Championship.mixedTeamSize	Mixed Team Size	Mixed Team Size	Mixed Team Size	Tamaño del Equipo Mixto	Tamaño del Equipo Mixto	Tamaño del Equipo Mixto	Tamaño del Equipo Mixto	Tamaño del Equipo Mixto	Taille de l'Équipe Mixte	Taille de l'Équipe Mixte	Taille de l'Équipe Mixte	Tamanho da Equipe Mista	Размер смешанной команды	Größe der gemischten Mannschaft	Blandat lagstorlek	Blandet holdstørrelse	Sekajoukkueen koko	Blandet lagstørrelse	Blandað liðssterd	Vegyes csapatméret	Mărimea echipei mixte	Rozmiar drużyny mieszanej	Խառն թիմի չափ	גודל קבוצה מעורבת	حجم الفريق المختلط	Μέγεθος μικτής ομάδας	混合チームサイズ	混合團隊人數	Segavõistkonna suurus	Mixed Team Size		
Championship.Type	Type	Type	Type	Tipo	Tipo	Tipo	Tipo	Tipo	Type	Type	Type	Tipo	Тип	Typ	Typ	Type	Tyyppi	Type	Slag	Típus	Tip	Typ	Տեսակ	סוג	النوع	Τύπος	タイプ	類型	Tüüp	Type		
Championship.MenWomenTeams	Men Women Teams	Men Women Teams	Men Women Teams	Equipos Masculinos y Femeninos	Equipos Masculinos y Femeninos	Equipos Masculinos y Femeninos	Equipos Masculinos y Femeninos	Equipos Masculinos y Femeninos	Équipes Hommes et Femmes	Équipes Hommes et Femmes	Équipes Hommes et Femmes	Equipes Masculinas e Femininas	Мужские и женские команды	Herren- und Damen-Mannschaften	Herr- och damlag	Herre- og damehold	Miesten ja naisten joukkueet	Herre- og damelag	Manna- og kvinnulið	Férfi és női csapatok	Echipe bărbați și femei	Drużyny męskie i żeńskie	Տղամարդկանց և կանանց թիմեր	קבוצות גברים ונשים	فرق الرجال والنساء	Ομάδες ανδρών και γυναικών	男子女子チーム	男子與女子團隊	Meeste ja naiste võistkonnad	Men Women Teams		
Championship.MixedTeam	Mixed Team	Mixed Team	Mixed Team	Equipo Mixto	Equipo Mixto	Equipo Mixto	Equipo Mixto	Equipo Mixto	Équipe Mixte	Équipe Mixte	Équipe Mixte	Equipe Mista	Смешанная команда	Gemischte Mannschaft	Blandat lag	Blandet hold	Sekajoukkue	Blandet lag	Blandað lið	Vegyes csapat	Echipă mixtă	Drużyna mieszana	Խառն թիմ	קבוצה מעורבת	فريق مختلط	Μικτή ομάδα	混合チーム	混合團隊	Segavõistkond	Mixed Team		
Championship.scoringSystemTitle	Scoring System Title	Scoring System Title	Scoring System Title	Título del Sistema de Puntuación	Título del Sistema de Puntuación	Título del Sistema de Puntuación	Título del Sistema de Puntuación	Título del Sistema de Puntuación	Titre du Système de Pointage	Titre du Système de Pointage	Titre du Système de Pointage	Título do Sistema de Pontuação	Заголовок системы подсчёта	Überschrift Wertungssystem	Rubrik poängsystem	Overskrift pointsystem	Pisteytysjärjestelmän otsikko	Overskrift poengsystem	Yvirskrift stigarskipan	Pontozási rendszer címe	Titlu sistem de punctaj	Tytuł systemu punktacji	Միավորների համակարգի վերնագիր	כותרת שיטת ניקוד	عنوان نظام التسجيل	Τίτλος συστήματος βαθμολογίας	スコアリング方式のタイトル	計分系統標題	Hindamissüsteemi pealkiri	Scoring System Title		
Championship.Medals	Medals	Medals	Medals	Medallas	Medallas	Medallas	Medallas	Medallas	Médailles	Médailles	Médailles	Medalhas	Медали	Medaillen	Medaljer	Medaljer	Mitalit	Medaljer	Medaljóir	Érmek	Medalii	Medale	Մեդալներ	מדליות	ميداليات	Μετάλλια	メダル	獎牌	Medalid	Medals		
