key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	zh_HANT	et	ia		
Books.AthletesByCategory	Athletes by Category			Atletas por categoría		Atletas por categoría	Atletas por categoría	Atletas por categoría	Athlètes par catégorie			Atletas por categoria	Спортсмены по категориям	Athleten nach Kategorie	Aktiva per kategori	Atleter efter kategori	Urheilijat kategorioittain	Utøvere etter kategori	Íðkarar eftir bólki	Sportolók kategóriánként	Sportivi pe categorie	Zawodnicy według kategorii	Մարզիկներն ըստ կարգի	ספורטאים לפי קטגוריה	الرياضيون حسب الفئة	Αθλητές ανά κατηγορία	カテゴリー別選手	按組別分類的運動員	Sportlased kategooriate kaupa			
Books.CategoryParticipants	Category Participants			Participantes por categoría		Participantes por categoría	Participantes por categoría	Participantes por categoría	Participants par catégorie			Participantes por categoria	Участники по категориям	Teilnehmer nach Kategorie	Deltagare per kategori	Deltagere efter kategori	Osallistujat kategorioittain	Deltakere etter kategori	Luttakarar eftir bólki	Résztvevők kategóriánként	Participanți pe categorii	Uczestnicy według kategorii	Մասնակիցներն ըստ կարգի	משתתפים לפי קטגוריה	المشاركون حسب الفئة	Συμμετέχοντες ανά κατηγορία	カテゴリー別参加者	按組別分類的參賽者	Osalejad kategooriate kaupa			
Books.CombinedMenAndWomenTeams	Combined Men and Women Teams			Equipos combinados masculinos y femeninos		Equipos combinados masculinos y femeninos	Equipos combinados masculinos y femeninos	Equipos combinados masculinos y femeninos	Équipes combinées hommes et femmes			Equipes combinadas masculinas e femininas	Объединённые мужские и женские команды	Kombinierte Männer- und Frauenteams	Kombinerade herr- och damlag	Kombinerede herre- og damehold	Yhdistetyt miesten ja naisten joukkueet	Kombinerte herre- og damelag	Samansett mans- og kvinnulið	Összesített férfi és női csapatok	Echipe combinate masculine și feminine	Połączone drużyny mężczyzn i kobiet	Տղամարդկանց և կանանց համակցված թիմեր	קבוצות גברים ונשים משולבות	فرق الرجال والنساء المجمعة	Συνδυασμένες ομάδες ανδρών και γυναικών	男女混合チーム	男子及女子合併隊伍	Meeste ja naiste koondvõistkonnad			
Books.CompetitionLogo	Competition Logo			Logotipo de la competición		Logotipo de la competición	Logotipo de la competencia	Logotipo de la competición	Logo de la compétition			Logotipo da competição	Логотип соревнования	Wettkampflogo	Tävlingslogotyp	Konkurrencelogo	Kilpailun logo	Konkurranselogo	Kappingarmerki	Verseny logója	Sigla competiției	Logo zawodów	Մրցման լոգոն	לוגו התחרות	شعار المنافسة	Λογότυπο διοργάνωσης	大会ロゴ	賽事標誌	Võistluse logo			
Books.CompetitionName	Competition Name			Nombre de la competición		Nombre de la competición	Nombre de la competencia	Nombre de la competición	Nom de la compétition			Nome da competição	Название соревнования	Wettkampfname	Tävlingsnamn	Konkurrencenavn	Kilpailun nimi	Konkurransenavn	Kappingarnavn	Verseny neve	Numele competiției	Nazwa zawodów	Մրցման անվանումը	שם התחרות	اسم المنافسة	Όνομα διοργάνωσης	大会名	賽事名稱	Võistluse nimi			
Books.CompetitionSecretaries	COMPETITION SECRETARIES			SECRETARIOS DE COMPETICIÓN		SECRETARIOS DE COMPETICIÓN	SECRETARIOS DE COMPETENCIA	SECRETARIOS DE COMPETICIÓN	SECRÉTAIRES DE COMPÉTITION			SECRETÁRIOS DA COMPETIÇÃO	СЕКРЕТАРИ СОРЕВНОВАНИЯ	WETTKAMPFSEKRETÄRE	TÄVLINGSSEKRETERARE	KONKURRENCESEKRETÆRER	KILPAILUSIHTEERIT	KONKURRANSESEKRETÆRER	KAPPINGARSKRIVARAR	VERSENYTITKÁROK	SECRETARI DE COMPETIȚIE	SEKRETARZE ZAWODÓW	ՄՐՑՄԱՆ ՔԱՐՏՈՒՂԱՐՆԵՐ	מזכירי תחרות	أمناء المنافسة	ΓΡΑΜΜΑΤΕΙΣ ΑΓΩΝΑ	大会セクレタリー	賽事秘書	VÕISTLUSE SEKRETÄRID			
Books.Counted	Counted			Contados		Contados	Contados	Contados	Comptés			Contados	Засчитано	Gezählt	Räknade	Talt	Laskettu	Talt	Tald	Számított	Numărați	Liczone	Հաշվված	נספרו	المحتسبون	Μετρημένοι	カウント対象	已計算	Arvestatud			
Books.DateRange	Date Range			Rango de fechas		Rango de fechas	Rango de fechas	Rango de fechas	Plage de dates			Intervalo de datas	Диапазон дат	Datumsbereich	Datumintervall	Datointerval	Päivämääräväli	Datointervall	Datoøki	Dátumtartomány	Interval de date	Zakres dat	Ամսաթվերի միջակայք	טווח תאריכים	نطاق التواريخ	Εύρος ημερομηνιών	日付範囲	日期範圍	Kuupäevavahemik			
Books.Holder	Holder			Titular		Titular	Titular	Titular	Détenteur			Detentor	Держатель	Inhaber	Innehavare	Indehaver	Haltija	Innehaver	Havari	Birtokos	Deținător	Posiadacz	Տիրապետող	מחזיק	الحامل	Κάτοχος	保持者	保持者	Omanik			
Books.LeftLogo	Left logo			Logotipo izquierdo		Logotipo izquierdo	Logotipo izquierdo	Logotipo izquierdo	Logo gauche			Logotipo esquerdo	Левый логотип	Linkes Logo	Vänster logotyp	Venstre logo	Vasen logo	Venstre logo	Vinstra merki	Bal oldali logó	Sigla din stânga	Lewe logo	Ձախ լոգոն	לוגו שמאלי	الشعار الأيسر	Αριστερό λογότυπο	左ロゴ	左側標誌	Vasak logo			
